"date","jcbm","chg_6m","chg_3m","chg_1m"
2021-01-01,106.147,3.02314057549518,3.84301006925929,5.2063974947359
2021-02-01,106.5,3.13276931141955,4.80402837968028,4.06449982271901
2021-03-01,107.054,3.8378788952703,5.22721639600661,6.42397972277287
2021-04-01,107.618,4.74734383517457,5.65955313897761,6.50848625498512
2021-05-01,108.175,5.61937183547276,6.4410584152957,6.39074388192284
2021-06-01,108.76,5.87578436274625,6.52834977826287,6.68602657826867
2021-07-01,109.256,5.94370191669751,6.22861485180288,5.61197635882582
2021-08-01,109.674,6.04938416980756,5.65915117938465,4.6889012940156
2021-09-01,110.034,5.64477042299254,4.76851975045023,4.01084196288324
2021-10-01,110.762,5.92823710804076,5.62870872853951,8.23473503279419
2021-11-01,111.5,6.24192400665515,6.82791117139114,8.29513314880332
2021-12-01,112.191,6.40882321203911,8.07480800856057,7.69556528901021
2022-01-01,112.805,6.60218512513528,7.58463310063353,6.76870361292687
2022-02-01,113.471,7.04401692428656,7.26055984473413,7.31943770390662
2022-03-01,114.469,8.22359987326169,8.37259658698735,11.0800532409118
2022-04-01,114.812,7.44667647012691,7.30889674250454,3.65558852662722
2022-05-01,115.525,7.35004222888054,7.43959926392459,7.71206161381288
2022-06-01,116.638,8.08466732751205,7.79750305163107,12.193848003314
2022-07-01,116.631,6.89842311804159,6.48951962058104,-0.0719939288509996
2022-08-01,116.956,6.23686557401615,5.04759589866806,3.39560711564519
2022-09-01,117.371,5.13463998587904,2.53755617758857,4.34210119887601
2022-10-01,117.919,5.4855594259331,4.49106435119573,5.74888406092089
2022-11-01,118.224,4.72716424145185,4.40771001209648,3.14836303004467
2022-12-01,118.384,3.01628676697889,3.49725246890515,1.63617893421693
2023-01-01,119.018,4.13513813226869,3.78042429905228,6.61925819598927
2023-02-01,119.369,4.16890477555478,3.93064574332114,3.59693132331902
2023-03-01,119.538,3.72665218620594,3.956560363674,1.71222541025933
2023-04-01,119.951,3.47612832966619,3.17272459055957,4.22565927313276
2023-05-01,120.15,3.2847617021813,2.64289155118544,2.00907903624434
2023-06-01,120.469,3.55345434325147,3.15191142248454,3.23295576405775
2023-07-01,120.607,2.68800905291311,2.2055707562076,1.38332132304539
2023-08-01,120.97,2.70042717967387,2.75799505928551,3.67212231222975
2023-09-01,121.419,3.17187725219132,3.19184694643484,4.54605581766601
2023-10-01,121.484,2.57237711657039,2.94049991110601,0.644298417789591
2023-11-01,121.493,2.2480329952381,1.74060174455095,0.0889368284414216
2023-12-01,121.66,1.98704617430256,0.796311871019206,1.66200528909168
2024-01-01,122.23,2.70949496959152,2.47900841766184,5.7693890115734
2024-02-01,122.598,2.70968788302106,3.68800463274839,3.67329064658379
2024-03-01,123.038,2.68457797658195,4.60821788520589,4.39279640429244
2024-04-01,123.341,3.08055878500451,3.68564024471469,2.99554175975714
2024-05-01,123.348,3.07698618454013,2.46956837987187,0.0681251367773861
2024-06-01,123.539,3.11279019997601,1.63874041417857,1.87406447498673
2024-07-01,123.736,2.47938761137094,1.28716821746142,1.93043823361172
2024-08-01,123.889,2.11715907554522,1.76596176342012,1.49393694656206
2024-09-01,124.164,1.83870410066616,2.03906119497992,2.69643605966672
2024-10-01,124.494,1.87835214720826,2.47298664670583,3.23636662261058
2024-11-01,124.637,2.10094220419581,2.4370252916105,1.38712112380461
2024-12-01,124.979,2.3448344108985,2.65152391572132,3.34291332341135
2025-01-01,125.417,2.73553130528288,2.99874862599276,4.28752313934306
2025-02-01,125.921,3.30725763784689,4.18488286116345,4.93033752742957
2025-03-01,125.941,2.88282587600714,3.11464902287444,0.190762276584477
2025-04-01,126.15,2.67806308477856,2.35837599468842,2.00968576084919
2025-05-01,126.38,2.81647919760224,1.46604866541125,2.20994488286503
2025-06-01,126.743,2.84279579035047,2.57165927636007,3.50172293747046
2025-07-01,126.96,2.47572774278355,2.59321403221595,2.07400925862784
2025-08-01,127.293,2.19101573867448,2.92116264562823,3.19325180117362
2025-09-01,127.625,2.69214738447641,2.81277702666076,3.17507615882846
2025-10-01,127.828,2.6780183328047,2.76289273324821,1.92550379619778
2025-11-01,128.093,2.7292440405541,2.53768330892434,2.51627985934075
