"date","jcxfebm","chg_6m","chg_3m","chg_1m"
2021-01-01,106.281,2.57794060066219,2.96685085869939,4.45107505843672
2021-02-01,106.501,2.40494592289373,3.43721502794114,2.51245709671295
2021-03-01,106.933,2.91054437791849,3.97496456146573,4.97763526728248
2021-04-01,107.558,3.92568298770186,4.89344380631607,7.24365423623055
2021-05-01,108.099,4.77903420034942,6.13825986123435,6.20562031911358
2021-06-01,108.603,5.17790902758775,6.39477103044266,5.74059483253833
2021-07-01,109.058,5.29404108771312,5.69616828533788,5.14496515089211
2021-08-01,109.409,5.535537386762,4.93623756479695,3.9312703396206
2021-09-01,109.641,5.12898555077395,3.87825920291245,2.57446777120918
2021-10-01,110.188,4.95017437950036,4.20944563054193,6.15384975112294
2021-11-01,110.77,5.00281898030659,5.06944264132645,6.52566754496053
2021-12-01,111.418,5.2512039864661,6.64229479396317,7.2502794754101
2022-01-01,111.976,5.42287148980247,6.65042660871897,6.17813531067564
2022-02-01,112.468,5.67003402385349,6.27405846931208,5.40185920042284
2022-03-01,112.914,6.05950830665865,5.47990667289133,4.86386123822728
2022-04-01,113.307,5.74135744080257,4.84003701593696,4.25751765654616
2022-05-01,113.703,5.36576764441326,4.46523969442931,4.27547815032598
2022-06-01,114.376,5.38021771477799,5.28062297260281,7.33856083460027
2022-07-01,114.628,4.79282081026873,4.74562586909204,2.67618650319688
2022-08-01,115.276,5.05575596767389,5.64961028398423,6.99862577148573
2022-09-01,115.788,5.15538544461358,5.03029689407122,5.46196265470811
2022-10-01,116.204,5.17891184362151,5.61399012913457,4.39754907420038
2022-11-01,116.539,5.05064598577571,4.45507742399789,3.51481581054136
2022-12-01,116.952,4.55516647409151,4.08218542360492,4.33653051332505
2023-01-01,117.505,5.08270982129253,4.55410206436122,5.82403694539058
2023-02-01,117.929,4.655832107008,4.85697262518998,4.41700413649986
2023-03-01,118.315,4.41250404155755,4.74387096944837,3.99927367260267
2023-04-01,118.734,4.401813450294,4.24974665269808,4.33343112811455
2023-05-01,119.083,4.41357357430674,3.97204948427161,3.58479677520818
2023-06-01,119.39,4.2126880565577,3.68419890783993,3.13788502464234
2023-07-01,119.556,3.52138150393473,2.79810524801727,1.68129998995361
2023-08-01,119.689,3.00712009087545,2.05114588051998,1.34313742691552
2023-09-01,120.058,2.96807474263261,2.25689669096429,3.76296912939984
2023-10-01,120.241,2.55455657208252,2.31158491026111,1.84452840511486
2023-11-01,120.374,2.17998871442644,2.30899421652941,1.33543910859697
2023-12-01,120.592,2.02370512567509,1.79104534169245,2.19500467806231
2024-01-01,121.217,2.79791594815817,3.28655872698491,6.39969971553844
2024-02-01,121.537,3.1118424821075,3.92099093021085,3.21427531017762
2024-03-01,122.009,3.2765035935985,4.78363945192624,4.76115219346176
2024-04-01,122.304,3.46087883727422,3.63549315332679,2.94032170111371
2024-05-01,122.383,3.36578456147778,2.81354442804638,0.777877378123581
2024-06-01,122.677,3.48783421213958,2.20805352760072,2.92114870209244
2024-07-01,122.911,2.81451738959044,2.00004520087598,2.31310411577472
2024-08-01,123.128,2.63526929743521,2.45730328973548,2.13929995127982
2024-09-01,123.466,2.40260892073358,2.59753465455577,3.34432603241495
2024-10-01,123.832,2.5143004359897,3.03114839982552,3.61582933797886
2024-11-01,123.962,2.59707021851023,2.73702781006604,1.26707067595586
2024-12-01,124.196,2.49175348577719,2.38608138059073,2.28887681525201
2025-01-01,124.587,2.74577030509706,2.46118265731807,3.84400655626822
2025-02-01,125.145,3.30310013648687,3.87229147350754,5.50894771160804
2025-03-01,125.267,2.93868045313517,3.49426201832765,1.17613585071328
2025-04-01,125.502,2.71538991716596,2.97022786786956,2.27456502529346
2025-05-01,125.79,2.97103670393606,2.0776017306563,2.78876403729982
2025-06-01,126.121,3.12396285791137,2.75498861605132,3.20374601693794
2025-07-01,126.43,2.98045804926965,2.99068924704717,2.97997652386497
2025-08-01,126.714,2.52321009175562,2.97076370634957,2.72911615574296
2025-09-01,126.954,2.71158343676954,2.66819659245727,2.29666149126388
2025-10-01,127.218,2.75331311095413,2.51648408674465,2.52413112328509
2025-11-01,127.422,2.61163333731294,2.25375550460145,1.94131803086091
