"variable","period","value","fill","pattern","lbl","plbl","nlbl"
"Supercore
(Share: 52%)","12-month",3.30059432680907,"supercore","other","12-month
3.3%","12-month
3.3%",
"Housing
(Share: 16%)","12-month",3.26094861315143,"housing","other","12-month
3.3%","12-month
3.3%",
"Core Goods
(Share: 22%)","12-month",1.26080691642652,"coregoods","other","12-month
1.3%","12-month
1.3%",
"Supercore
(Share: 52%)","6-month",3.33241766853152,"supercore","other","6-month
3.3%","6-month
3.3%",
"Housing
(Share: 16%)","6-month",2.64152988708426,"housing","other","6-month
2.6%","6-month
2.6%",
"Core Goods
(Share: 22%)","6-month",0.899953221906724,"coregoods","other","6-month
0.9%","6-month
0.9%",
"Supercore
(Share: 52%)","3-month",3.13665282638826,"supercore","other","3-month
3.1%","3-month
3.1%",
"Housing
(Share: 16%)","3-month",1.55878161770977,"housing","other","3-month
1.6%","3-month
1.6%",
"Core Goods
(Share: 22%)","3-month",0.674181677286811,"coregoods","other","3-month
0.7%","3-month
0.7%",
"Supercore
(Share: 52%)","1-month",2.99339783189194,"supercore","other","1-month
3.0%","1-month
3.0%",
"Housing
(Share: 16%)","1-month",1.43079822871832,"housing","other","1-month
1.4%","1-month
1.4%",
"Core Goods
(Share: 22%)","1-month",-0.142188494470663,"coregoods","other","1-month
-0.1%",,"1-month
-0.1%"
"Supercore
(Share: 52%)","Pre-pandemic",2.24195212755864,"precovid","precovid","2016-19
Avg","2016-19
Avg",
"Housing
(Share: 16%)","Pre-pandemic",3.40811654152915,"precovid","precovid","2016-19
Avg","2016-19
Avg",
"Core Goods
(Share: 22%)","Pre-pandemic",-0.613632298571831,"precovid","precovid","2016-19
Avg",,"2016-19
Avg"
