"time_month","variable","value","year","month","date","lbl","plbl","nlbl"
"2022m11","Demand-driven inflation",2.50999999046326,"2022","11",2022-11-01,,,
"2022m12","Demand-driven inflation",2.22000002861023,"2022","12",2022-12-01,,,
"2023m1","Demand-driven inflation",2.52999997138977,"2023","1",2023-01-01,,,
"2023m10","Demand-driven inflation",1.25999999046326,"2023","10",2023-10-01,,,
"2023m11","Demand-driven inflation",1.17999994754791,"2023","11",2023-11-01,,,
"2023m12","Demand-driven inflation",1.32000005245209,"2023","12",2023-12-01,,,
"2023m2","Demand-driven inflation",2.34999990463257,"2023","2",2023-02-01,,,
"2023m3","Demand-driven inflation",1.8400000333786,"2023","3",2023-03-01,,,
"2023m4","Demand-driven inflation",1.94000005722046,"2023","4",2023-04-01,,,
"2023m5","Demand-driven inflation",1.62999999523163,"2023","5",2023-05-01,,,
"2023m6","Demand-driven inflation",1.55999994277954,"2023","6",2023-06-01,,,
"2023m7","Demand-driven inflation",1.30999994277954,"2023","7",2023-07-01,,,
"2023m8","Demand-driven inflation",1.36000001430511,"2023","8",2023-08-01,,,
"2023m9","Demand-driven inflation",1.44000005722046,"2023","9",2023-09-01,,,
"2024m1","Demand-driven inflation",1.12999999523163,"2024","1",2024-01-01,,,
"2024m10","Demand-driven inflation",1.04999995231628,"2024","10",2024-10-01,,,
"2024m11","Demand-driven inflation",1.05999994277954,"2024","11",2024-11-01,,,
"2024m12","Demand-driven inflation",1.25999999046326,"2024","12",2024-12-01,,,
"2024m2","Demand-driven inflation",1.11000001430511,"2024","2",2024-02-01,,,
"2024m3","Demand-driven inflation",1.28999996185303,"2024","3",2024-03-01,,,
"2024m4","Demand-driven inflation",1.12000000476837,"2024","4",2024-04-01,,,
"2024m5","Demand-driven inflation",1.13999998569489,"2024","5",2024-05-01,,,
"2024m6","Demand-driven inflation",0.980000019073486,"2024","6",2024-06-01,,,
"2024m7","Demand-driven inflation",1.08000004291534,"2024","7",2024-07-01,,,
"2024m8","Demand-driven inflation",0.870000004768372,"2024","8",2024-08-01,,,
"2024m9","Demand-driven inflation",1.00999999046326,"2024","9",2024-09-01,,,
"2025m1","Demand-driven inflation",1.20000004768372,"2025","1",2025-01-01,,,
"2025m10","Demand-driven inflation",1.41999995708466,"2025","10",2025-10-01,"1.4","1.4",
"2025m11","Demand-driven inflation",1.46000003814697,"2025","11",2025-11-01,"1.5","1.5",
"2025m2","Demand-driven inflation",1.3400000333786,"2025","2",2025-02-01,,,
"2025m3","Demand-driven inflation",1.21000003814697,"2025","3",2025-03-01,,,
"2025m4","Demand-driven inflation",1.26999998092651,"2025","4",2025-04-01,,,
"2025m5","Demand-driven inflation",1.22000002861023,"2025","5",2025-05-01,,,
"2025m6","Demand-driven inflation",1.36000001430511,"2025","6",2025-06-01,,,
"2025m7","Demand-driven inflation",1.33000004291534,"2025","7",2025-07-01,,,
"2025m8","Demand-driven inflation",1.47000002861023,"2025","8",2025-08-01,,,
"2025m9","Demand-driven inflation",1.36000001430511,"2025","9",2025-09-01,,,
"2022m11","Ambiguous",0.589999973773956,"2022","11",2022-11-01,,,
"2022m12","Ambiguous",0.589999973773956,"2022","12",2022-12-01,,,
"2023m1","Ambiguous",0.439999997615814,"2023","1",2023-01-01,,,
"2023m10","Ambiguous",0.449999988079071,"2023","10",2023-10-01,,,
"2023m11","Ambiguous",0.469999998807907,"2023","11",2023-11-01,,,
"2023m12","Ambiguous",0.400000005960464,"2023","12",2023-12-01,,,
"2023m2","Ambiguous",0.409999996423721,"2023","2",2023-02-01,,,
"2023m3","Ambiguous",0.419999986886978,"2023","3",2023-03-01,,,
"2023m4","Ambiguous",0.349999994039536,"2023","4",2023-04-01,,,
"2023m5","Ambiguous",0.239999994635582,"2023","5",2023-05-01,,,
"2023m6","Ambiguous",0.180000007152557,"2023","6",2023-06-01,,,
"2023m7","Ambiguous",0.5,"2023","7",2023-07-01,,,
"2023m8","Ambiguous",0.46000000834465,"2023","8",2023-08-01,,,
"2023m9","Ambiguous",0.579999983310699,"2023","9",2023-09-01,,,
"2024m1","Ambiguous",0.469999998807907,"2024","1",2024-01-01,,,
"2024m10","Ambiguous",0.540000021457672,"2024","10",2024-10-01,,,
"2024m11","Ambiguous",0.550000011920929,"2024","11",2024-11-01,,,
"2024m12","Ambiguous",0.600000023841858,"2024","12",2024-12-01,,,
"2024m2","Ambiguous",0.439999997615814,"2024","2",2024-02-01,,,
"2024m3","Ambiguous",0.529999971389771,"2024","3",2024-03-01,,,
"2024m4","Ambiguous",0.579999983310699,"2024","4",2024-04-01,,,
"2024m5","Ambiguous",0.629999995231628,"2024","5",2024-05-01,,,
"2024m6","Ambiguous",0.670000016689301,"2024","6",2024-06-01,,,
"2024m7","Ambiguous",0.550000011920929,"2024","7",2024-07-01,,,
"2024m8","Ambiguous",0.569999992847443,"2024","8",2024-08-01,,,
"2024m9","Ambiguous",0.46000000834465,"2024","9",2024-09-01,,,
"2025m1","Ambiguous",0.569999992847443,"2025","1",2025-01-01,,,
"2025m10","Ambiguous",0.330000013113022,"2025","10",2025-10-01,"0.3","0.3",
"2025m11","Ambiguous",0.349999994039536,"2025","11",2025-11-01,"0.3","0.3",
"2025m2","Ambiguous",0.600000023841858,"2025","2",2025-02-01,,,
"2025m3","Ambiguous",0.400000005960464,"2025","3",2025-03-01,,,
"2025m4","Ambiguous",0.280000001192093,"2025","4",2025-04-01,,,
"2025m5","Ambiguous",0.239999994635582,"2025","5",2025-05-01,,,
"2025m6","Ambiguous",0.259999990463257,"2025","6",2025-06-01,,,
"2025m7","Ambiguous",0.28999999165535,"2025","7",2025-07-01,,,
"2025m8","Ambiguous",0.379999995231628,"2025","8",2025-08-01,,,
"2025m9","Ambiguous",0.409999996423721,"2025","9",2025-09-01,,,
"2022m11","Supply-driven inflation",2.90000009536743,"2022","11",2022-11-01,,,
"2022m12","Supply-driven inflation",2.69000005722046,"2022","12",2022-12-01,,,
"2023m1","Supply-driven inflation",2.52999997138977,"2023","1",2023-01-01,,,
"2023m10","Supply-driven inflation",1.30999994277954,"2023","10",2023-10-01,,,
"2023m11","Supply-driven inflation",1.12000000476837,"2023","11",2023-11-01,,,
"2023m12","Supply-driven inflation",1.04999995231628,"2023","12",2023-12-01,,,
"2023m2","Supply-driven inflation",2.4300000667572,"2023","2",2023-02-01,,,
"2023m3","Supply-driven inflation",2.19000005722046,"2023","3",2023-03-01,,,
"2023m4","Supply-driven inflation",2.19000005722046,"2023","4",2023-04-01,,,
"2023m5","Supply-driven inflation",2.13000011444092,"2023","5",2023-05-01,,,
"2023m6","Supply-driven inflation",1.54999995231628,"2023","6",2023-06-01,,,
"2023m7","Supply-driven inflation",1.5900000333786,"2023","7",2023-07-01,,,
"2023m8","Supply-driven inflation",1.61000001430511,"2023","8",2023-08-01,,,
"2023m9","Supply-driven inflation",1.41999995708466,"2023","9",2023-09-01,,,
"2024m1","Supply-driven inflation",1.10000002384186,"2024","1",2024-01-01,,,
"2024m10","Supply-driven inflation",0.899999976158142,"2024","10",2024-10-01,,,
"2024m11","Supply-driven inflation",0.990000009536743,"2024","11",2024-11-01,,,
"2024m12","Supply-driven inflation",0.870000004768372,"2024","12",2024-12-01,,,
"2024m2","Supply-driven inflation",1.14999997615814,"2024","2",2024-02-01,,,
"2024m3","Supply-driven inflation",1.11000001430511,"2024","3",2024-03-01,,,
"2024m4","Supply-driven inflation",1.12999999523163,"2024","4",2024-04-01,,,
"2024m5","Supply-driven inflation",0.889999985694885,"2024","5",2024-05-01,,,
"2024m6","Supply-driven inflation",0.910000026226044,"2024","6",2024-06-01,,,
"2024m7","Supply-driven inflation",0.970000028610229,"2024","7",2024-07-01,,,
"2024m8","Supply-driven inflation",0.980000019073486,"2024","8",2024-08-01,,,
"2024m9","Supply-driven inflation",0.800000011920929,"2024","9",2024-09-01,,,
"2025m1","Supply-driven inflation",0.839999973773956,"2025","1",2025-01-01,,,
"2025m10","Supply-driven inflation",0.920000016689301,"2025","10",2025-10-01,"0.9","0.9",
"2025m11","Supply-driven inflation",0.959999978542328,"2025","11",2025-11-01,"1.0","1.0",
"2025m2","Supply-driven inflation",0.759999990463257,"2025","2",2025-02-01,,,
"2025m3","Supply-driven inflation",0.759999990463257,"2025","3",2025-03-01,,,
"2025m4","Supply-driven inflation",0.740000009536743,"2025","4",2025-04-01,,,
"2025m5","Supply-driven inflation",0.990000009536743,"2025","5",2025-05-01,,,
"2025m6","Supply-driven inflation",0.970000028610229,"2025","6",2025-06-01,,,
"2025m7","Supply-driven inflation",0.980000019073486,"2025","7",2025-07-01,,,
"2025m8","Supply-driven inflation",0.899999976158142,"2025","8",2025-08-01,,,
"2025m9","Supply-driven inflation",1.00999999046326,"2025","9",2025-09-01,,,
